iter	Passed	Remaining
0	809	808299
1	1356	676818
2	1933	642547
3	2380	592785
4	2871	571427
5	3347	554576
6	3819	541777
7	4326	536472
8	4852	534340
9	5383	532965
10	5865	527354
11	6092	501592
12	6320	479834
13	6546	461074
14	6773	444786
15	6999	430485
16	7240	418697
17	7468	407445
18	7695	397305
19	7925	388338
20	8150	379957
21	8379	372526
22	8607	365620
23	8837	359376
24	9070	353759
25	9301	348465
26	9528	343386
27	9760	338834
28	9990	334516
29	10218	330414
30	10446	326543
31	10681	323108
32	10910	319711
33	11142	316564
34	11375	313650
35	11675	312656
36	11918	310197
37	12179	308332
38	12432	306358
39	12691	304588
40	12930	302455
41	13164	300274
42	13407	298391
43	13635	296251
44	13876	294489
45	14106	292558
46	14338	290728
47	14570	288989
48	14802	287290
49	15034	285655
50	15264	284036
51	15494	282484
52	15726	280991
53	15960	279600
54	16191	278194
55	16465	277557
56	16764	277343
57	17036	276698
58	17307	276033
59	17559	275099
60	17834	274527
61	18095	273769
62	18366	273164
63	18626	272418
64	18906	271956
65	19145	270936
66	19383	269921
67	19626	269001
68	19905	268576
69	20143	267622
70	20378	266643
71	20625	265843
72	20895	265342
73	21188	265141
74	21454	264600
75	21716	264027
76	21960	263238
77	22199	262406
78	22441	261628
79	22698	261031
80	22931	260174
81	23375	261690
82	23947	264579
83	24566	267891
84	24970	268798
85	25266	268529
86	25764	270376
87	25997	269432
88	26229	268486
89	26571	268669
90	26824	267952
91	27177	268231
92	27500	268199
93	28069	270544
94	28427	270812
95	28700	270259
96	29120	271090
97	29554	272021
98	29934	272436
99	30201	271809
100	30506	271534
101	31028	273176
102	31306	272643
103	31731	273375
104	32269	275056
105	32697	275765
106	32990	275334
107	33317	275179
108	33602	274679
109	34028	275323
110	34313	274814
111	34899	276699
112	35486	278550
113	36091	280499
114	36349	279731
115	36780	280292
116	37051	279626
117	37317	278929
118	37761	279563
119	38201	280144
120	38511	279768
121	39148	281740
122	39798	283768
123	40462	285847
124	41094	287664
125	41652	288919
126	41960	288440
127	42277	288017
128	42981	290210
129	43659	292184
130	44157	292925
131	44517	292736
132	44828	292226
133	45110	291532
134	45355	290610
135	45644	289978
136	46207	291074
137	46774	292170
138	47321	293120
139	47804	293655
140	48043	292693
141	48386	292362
142	48684	291767
143	48937	290904
144	49171	289942
145	49412	289028
146	49652	288120
147	49911	287329
148	50176	286578
149	50484	286079
150	50782	285528
151	51042	284765
152	51737	286417
153	52109	286265
154	52415	285751
155	52962	286541
156	53458	287043
157	53692	286132
158	54149	286411
159	54386	285528
160	54670	284899
161	54929	284143
162	55182	283358
163	55425	282534
164	55674	281747
165	55927	280985
166	56189	280275
167	56459	279609
168	56714	278876
169	57093	278748
170	57335	277961
171	57577	277174
172	57818	276393
173	58066	275649
174	58317	274926
175	58577	274247
176	58821	273502
177	59086	272861
178	59347	272201
179	59618	271596
180	59915	271108
181	60247	270783
182	60809	271482
183	61341	272034
184	61628	271497
185	62206	272235
186	62594	272133
187	62844	271436
188	63189	271148
189	63489	270665
190	63758	270057
191	64057	269576
192	64428	269396
193	64681	268729
194	64942	268095
195	65250	267660
196	65973	268917
197	66578	269676
198	67189	270448
199	67812	271250
200	68436	272043
201	68917	272258
202	69162	271540
203	69871	272635
204	70244	272410
205	70545	271909
206	71177	272674
207	71792	273365
208	72060	272728
209	72570	273005
210	73159	273566
211	73757	274156
212	74346	274697
213	74612	274043
214	74852	273297
215	75102	272593
216	75370	271959
217	75631	271301
218	75914	270727
219	76238	270301
220	76531	269764
221	76784	269089
222	77029	268392
223	77268	267678
224	77522	267022
225	77776	266368
226	78023	265692
227	78274	265034
228	78721	265041
229	79159	265011
230	79473	264567
231	80019	264892
232	80315	264386
233	80662	264050
234	81001	263686
235	81724	264566
236	82022	264064
237	82423	263892
238	83044	264422
239	83316	263834
240	83568	263189
241	83949	262949
242	84207	262326
243	84484	261762
244	85025	262017
245	85554	262229
246	85824	261642
247	86115	261123
248	86673	261413
249	87333	262000
250	87922	262366
251	88509	262719
252	89079	263014
253	89593	263136
254	89925	262722
255	90226	262220
256	90516	261687
257	90949	261568
258	91391	261471
259	91891	261536
260	92321	261400
261	92764	261299
262	93178	261113
263	93612	260979
264	93999	260716
265	94390	260459
266	94778	260197
267	95133	259843
268	95516	259564
269	95897	259277
270	96294	259036
271	96688	258782
272	97075	258512
273	97474	258271
274	97826	257907
275	98169	257517
276	98544	257212
277	98914	256893
278	99279	256560
279	99528	255929
280	99767	255277
281	100027	254679
282	100277	254060
283	100520	253424
284	100755	252773
285	100990	252123
286	101228	251483
287	101467	250851
288	101708	250224
289	101954	249613
290	102206	249018
291	102444	248391
292	102682	247768
293	102919	247147
294	103156	246527
295	103465	246079
296	103763	245608
297	104102	245234
298	104451	244884
299	104818	244575
300	105177	244248
301	105763	244447
302	106394	244742
303	106964	244892
304	107542	245056
305	108101	245172
306	108680	245328
307	109235	245425
308	109804	245550
309	110473	245893
310	110796	245463
311	111064	244912
312	111594	244936
313	112081	244865
314	112320	244252
315	112889	244356
316	113148	243787
317	113626	243690
318	114252	243906
319	114856	244071
320	115135	243542
321	115428	243046
322	115709	242524
323	115978	241979
324	116243	241429
325	116495	240853
326	116752	240289
327	117035	239780
328	117331	239300
329	117631	238827
330	117915	238325
331	118202	237828
332	118480	237317
333	118728	236746
334	118989	236203
335	119283	235727
336	119565	235227
337	119840	234717
338	120121	234219
339	120411	233740
340	120676	233213
341	120926	232660
342	121169	232094
343	121410	231526
344	121648	230956
345	121902	230416
346	122156	229878
347	122396	229318
348	122677	228834
349	123230	228856
350	123543	228432
351	123813	227930
352	124057	227380
353	124408	227027
354	124905	226941
355	125147	226389
356	125467	225982
357	126028	226006
358	126337	225576
359	126932	225658
360	127499	225684
361	128132	225824
